CustomerID,CustomerName,City,Age,Gender,LoyaltyTier
C00001,Aarav Sharma,Mumbai,52,Male,Silver
C00002,Vivaan Sharma,Mumbai,37,Female,Silver
C00003,Aditya Sharma,Mumbai,57,Female,Bronze
C00004,Arjun Sharma,Pune,27,Female,Gold
C00005,Sai Sharma,Hyderabad,52,Female,Silver
C00006,Rahul Sharma,Chennai,24,Female,Silver
C00007,Karthik Sharma,Bengaluru,39,Male,Silver
C00008,Surya Sharma,Hyderabad,56,Male,Gold
C00009,Vikram Sharma,Hyderabad,52,Male,Bronze
C00010,Rohan Sharma,Bengaluru,54,Female,Silver
C00011,Ananya Sharma,Bengaluru,41,Male,Bronze
C00012,Diya Sharma,Mumbai,29,Female,Bronze
C00013,Priya Sharma,Chennai,58,Male,Silver
C00014,Meera Sharma,Bengaluru,58,Male,Silver
C00015,Nisha Sharma,Mumbai,45,Female,Bronze
C00016,Sneha Sharma,Mumbai,21,Female,Gold
C00017,Aishwarya Sharma,Chennai,19,Female,Bronze
C00018,Kavya Sharma,Hyderabad,45,Male,Bronze
C00019,Harini Sharma,Mumbai,40,Female,Gold
C00020,Divya Sharma,Mumbai,60,Female,Bronze
C00021,Aarav Patel,Hyderabad,23,Female,Bronze
C00022,Vivaan Patel,Pune,51,Male,Silver
C00023,Aditya Patel,Chennai,34,Male,Silver
C00024,Arjun Patel,Bengaluru,59,Female,Gold
C00025,Sai Patel,Pune,34,Male,Silver
C00026,Rahul Patel,Chennai,37,Female,Gold
C00027,Karthik Patel,Chennai,29,Female,Bronze
C00028,Surya Patel,Mumbai,53,Female,Gold
C00029,Vikram Patel,Chennai,42,Female,Gold
C00030,Rohan Patel,Chennai,42,Male,Gold
C00031,Ananya Patel,Bengaluru,58,Female,Bronze
C00032,Diya Patel,Mumbai,36,Female,Bronze
C00033,Priya Patel,Mumbai,18,Male,Gold
C00034,Meera Patel,Pune,48,Female,Silver
C00035,Nisha Patel,Pune,49,Female,Gold
C00036,Sneha Patel,Bengaluru,59,Female,Bronze
C00037,Aishwarya Patel,Bengaluru,23,Male,Gold
C00038,Kavya Patel,Hyderabad,54,Female,Silver
C00039,Harini Patel,Chennai,40,Female,Bronze
C00040,Divya Patel,Bengaluru,23,Male,Bronze
C00041,Aarav Reddy,Bengaluru,52,Female,Bronze
C00042,Vivaan Reddy,Chennai,43,Male,Bronze
C00043,Aditya Reddy,Hyderabad,19,Male,Bronze
C00044,Arjun Reddy,Pune,54,Male,Silver
C00045,Sai Reddy,Chennai,28,Female,Bronze
C00046,Rahul Reddy,Hyderabad,48,Male,Bronze
C00047,Karthik Reddy,Pune,22,Male,Gold
C00048,Surya Reddy,Bengaluru,28,Male,Gold
C00049,Vikram Reddy,Hyderabad,55,Female,Silver
C00050,Rohan Reddy,Bengaluru,33,Female,Bronze
C00051,Ananya Reddy,Mumbai,24,Male,Gold
C00052,Diya Reddy,Bengaluru,39,Female,Bronze
C00053,Priya Reddy,Mumbai,29,Male,Bronze
C00054,Meera Reddy,Pune,47,Male,Gold
C00055,Nisha Reddy,Hyderabad,23,Male,Bronze
C00056,Sneha Reddy,Mumbai,48,Male,Silver
C00057,Aishwarya Reddy,Chennai,32,Female,Silver
C00058,Kavya Reddy,Pune,42,Female,Gold
C00059,Harini Reddy,Hyderabad,47,Male,Bronze
C00060,Divya Reddy,Hyderabad,26,Male,Gold
C00061,Aarav Kumar,Pune,28,Male,Silver
C00062,Vivaan Kumar,Bengaluru,28,Female,Gold
C00063,Aditya Kumar,Bengaluru,47,Male,Bronze
C00064,Arjun Kumar,Mumbai,31,Male,Gold
C00065,Sai Kumar,Pune,45,Female,Silver
C00066,Rahul Kumar,Pune,39,Male,Silver
C00067,Karthik Kumar,Hyderabad,58,Female,Silver
C00068,Surya Kumar,Pune,37,Male,Silver
C00069,Vikram Kumar,Chennai,54,Female,Bronze
C00070,Rohan Kumar,Pune,43,Female,Silver
C00071,Ananya Kumar,Chennai,56,Male,Gold
C00072,Diya Kumar,Hyderabad,27,Female,Silver
C00073,Priya Kumar,Chennai,33,Male,Bronze
C00074,Meera Kumar,Hyderabad,35,Female,Gold
C00075,Nisha Kumar,Pune,43,Female,Gold
C00076,Sneha Kumar,Hyderabad,23,Male,Silver
C00077,Aishwarya Kumar,Hyderabad,52,Female,Bronze
C00078,Kavya Kumar,Chennai,53,Female,Gold
C00079,Harini Kumar,Bengaluru,52,Male,Gold
C00080,Divya Kumar,Hyderabad,36,Female,Silver
C00081,Aarav Singh,Mumbai,32,Female,Bronze
C00082,Vivaan Singh,Chennai,55,Male,Bronze
C00083,Aditya Singh,Bengaluru,46,Male,Silver
C00084,Arjun Singh,Pune,28,Female,Silver
C00085,Sai Singh,Pune,47,Female,Silver
C00086,Rahul Singh,Chennai,52,Male,Silver
C00087,Karthik Singh,Bengaluru,42,Male,Bronze
C00088,Surya Singh,Hyderabad,26,Male,Bronze
C00089,Vikram Singh,Hyderabad,24,Female,Silver
C00090,Rohan Singh,Bengaluru,27,Male,Silver
C00091,Ananya Singh,Chennai,50,Male,Silver
C00092,Diya Singh,Hyderabad,53,Male,Gold
C00093,Priya Singh,Mumbai,54,Female,Gold
C00094,Meera Singh,Bengaluru,42,Female,Bronze
C00095,Nisha Singh,Chennai,26,Female,Bronze
C00096,Sneha Singh,Chennai,57,Female,Bronze
C00097,Aishwarya Singh,Chennai,19,Female,Silver
C00098,Kavya Singh,Chennai,32,Female,Gold
C00099,Harini Singh,Bengaluru,55,Male,Silver
C00100,Divya Singh,Bengaluru,54,Female,Silver
C00101,Aarav Iyer,Bengaluru,35,Female,Silver
C00102,Vivaan Iyer,Hyderabad,46,Male,Bronze
C00103,Aditya Iyer,Pune,45,Male,Bronze
C00104,Arjun Iyer,Pune,32,Male,Bronze
C00105,Sai Iyer,Pune,51,Male,Bronze
C00106,Rahul Iyer,Hyderabad,41,Male,Silver
C00107,Karthik Iyer,Hyderabad,28,Male,Silver
C00108,Surya Iyer,Bengaluru,36,Male,Bronze
C00109,Vikram Iyer,Mumbai,18,Female,Bronze
C00110,Rohan Iyer,Hyderabad,60,Female,Bronze
C00111,Ananya Iyer,Hyderabad,42,Male,Bronze
C00112,Diya Iyer,Pune,20,Male,Bronze
C00113,Priya Iyer,Chennai,39,Male,Bronze
C00114,Meera Iyer,Chennai,50,Female,Gold
C00115,Nisha Iyer,Bengaluru,59,Female,Bronze
C00116,Sneha Iyer,Pune,26,Female,Silver
C00117,Aishwarya Iyer,Hyderabad,51,Male,Silver
C00118,Kavya Iyer,Mumbai,39,Male,Gold
C00119,Harini Iyer,Mumbai,23,Male,Silver
C00120,Divya Iyer,Chennai,43,Female,Silver
C00121,Aarav Nair,Pune,36,Male,Gold
C00122,Vivaan Nair,Bengaluru,30,Male,Gold
C00123,Aditya Nair,Mumbai,42,Male,Silver
C00124,Arjun Nair,Chennai,35,Male,Silver
C00125,Sai Nair,Chennai,34,Male,Bronze
C00126,Rahul Nair,Hyderabad,56,Female,Silver
C00127,Karthik Nair,Pune,42,Male,Silver
C00128,Surya Nair,Bengaluru,33,Male,Silver
C00129,Vikram Nair,Mumbai,44,Male,Gold
C00130,Rohan Nair,Pune,25,Male,Silver
C00131,Ananya Nair,Chennai,50,Female,Bronze
C00132,Diya Nair,Pune,35,Male,Silver
C00133,Priya Nair,Mumbai,34,Female,Gold
C00134,Meera Nair,Bengaluru,48,Female,Gold
C00135,Nisha Nair,Bengaluru,39,Female,Gold
C00136,Sneha Nair,Pune,39,Male,Gold
C00137,Aishwarya Nair,Hyderabad,50,Female,Gold
C00138,Kavya Nair,Chennai,50,Male,Gold
C00139,Harini Nair,Pune,18,Female,Bronze
C00140,Divya Nair,Bengaluru,44,Male,Bronze
C00141,Aarav Verma,Pune,60,Male,Gold
C00142,Vivaan Verma,Chennai,53,Female,Bronze
C00143,Aditya Verma,Bengaluru,33,Male,Bronze
C00144,Arjun Verma,Chennai,51,Female,Silver
C00145,Sai Verma,Bengaluru,48,Male,Silver
C00146,Rahul Verma,Mumbai,54,Female,Bronze
C00147,Karthik Verma,Pune,58,Female,Bronze
C00148,Surya Verma,Mumbai,26,Male,Bronze
C00149,Vikram Verma,Bengaluru,54,Female,Silver
C00150,Rohan Verma,Pune,49,Male,Gold
C00151,Ananya Verma,Chennai,50,Male,Bronze
C00152,Diya Verma,Mumbai,32,Female,Gold
C00153,Priya Verma,Bengaluru,27,Female,Silver
C00154,Meera Verma,Chennai,23,Male,Silver
C00155,Nisha Verma,Hyderabad,52,Male,Silver
C00156,Sneha Verma,Hyderabad,58,Male,Silver
C00157,Aishwarya Verma,Chennai,56,Male,Silver
C00158,Kavya Verma,Mumbai,37,Male,Gold
C00159,Harini Verma,Chennai,37,Male,Silver
C00160,Divya Verma,Mumbai,55,Male,Gold
C00161,Aarav Gupta,Hyderabad,37,Male,Bronze
C00162,Vivaan Gupta,Mumbai,37,Male,Gold
C00163,Aditya Gupta,Bengaluru,30,Female,Gold
C00164,Arjun Gupta,Chennai,49,Female,Gold
C00165,Sai Gupta,Bengaluru,48,Female,Gold
C00166,Rahul Gupta,Bengaluru,26,Female,Bronze
C00167,Karthik Gupta,Bengaluru,51,Male,Gold
C00168,Surya Gupta,Mumbai,36,Male,Bronze
C00169,Vikram Gupta,Pune,52,Male,Bronze
C00170,Rohan Gupta,Pune,39,Male,Gold
C00171,Ananya Gupta,Chennai,49,Male,Gold
C00172,Diya Gupta,Hyderabad,32,Female,Bronze
C00173,Priya Gupta,Bengaluru,58,Female,Bronze
C00174,Meera Gupta,Chennai,37,Female,Bronze
C00175,Nisha Gupta,Chennai,36,Male,Silver
C00176,Sneha Gupta,Mumbai,53,Male,Silver
C00177,Aishwarya Gupta,Hyderabad,53,Female,Silver
C00178,Kavya Gupta,Pune,33,Male,Gold
C00179,Harini Gupta,Chennai,43,Female,Gold
C00180,Divya Gupta,Bengaluru,24,Female,Silver
C00181,Aarav Rao,Mumbai,28,Female,Silver
C00182,Vivaan Rao,Pune,44,Male,Bronze
C00183,Aditya Rao,Pune,50,Male,Gold
C00184,Arjun Rao,Hyderabad,55,Female,Silver
C00185,Sai Rao,Mumbai,57,Male,Bronze
C00186,Rahul Rao,Chennai,21,Female,Bronze
C00187,Karthik Rao,Mumbai,30,Female,Silver
C00188,Surya Rao,Mumbai,46,Male,Silver
C00189,Vikram Rao,Bengaluru,52,Female,Gold
C00190,Rohan Rao,Bengaluru,34,Male,Gold
C00191,Ananya Rao,Mumbai,49,Female,Silver
C00192,Diya Rao,Pune,33,Female,Gold
C00193,Priya Rao,Hyderabad,19,Male,Gold
C00194,Meera Rao,Mumbai,43,Male,Gold
C00195,Nisha Rao,Bengaluru,56,Male,Silver
C00196,Sneha Rao,Mumbai,44,Male,Bronze
C00197,Aishwarya Rao,Hyderabad,60,Male,Silver
C00198,Kavya Rao,Bengaluru,41,Female,Gold
C00199,Harini Rao,Bengaluru,53,Male,Bronze
C00200,Divya Rao,Mumbai,42,Male,Gold
C00201,Aarav Sharma,Pune,18,Male,Silver
C00202,Vivaan Sharma,Pune,33,Female,Silver
C00203,Aditya Sharma,Chennai,20,Female,Silver
C00204,Arjun Sharma,Mumbai,46,Male,Silver
C00205,Sai Sharma,Mumbai,23,Male,Silver
C00206,Rahul Sharma,Pune,36,Female,Gold
C00207,Karthik Sharma,Mumbai,20,Female,Silver
C00208,Surya Sharma,Bengaluru,18,Male,Gold
C00209,Vikram Sharma,Hyderabad,31,Female,Gold
C00210,Rohan Sharma,Pune,34,Female,Gold
C00211,Ananya Sharma,Bengaluru,51,Male,Bronze
C00212,Diya Sharma,Mumbai,24,Female,Gold
C00213,Priya Sharma,Bengaluru,55,Male,Silver
C00214,Meera Sharma,Chennai,19,Male,Gold
C00215,Nisha Sharma,Pune,24,Male,Gold
C00216,Sneha Sharma,Chennai,52,Male,Gold
C00217,Aishwarya Sharma,Pune,35,Female,Silver
C00218,Kavya Sharma,Bengaluru,37,Male,Silver
C00219,Harini Sharma,Chennai,49,Male,Gold
C00220,Divya Sharma,Hyderabad,26,Male,Bronze
C00221,Aarav Patel,Hyderabad,59,Male,Silver
C00222,Vivaan Patel,Hyderabad,60,Female,Gold
C00223,Aditya Patel,Mumbai,34,Female,Silver
C00224,Arjun Patel,Chennai,52,Male,Bronze
C00225,Sai Patel,Hyderabad,60,Female,Silver
C00226,Rahul Patel,Mumbai,36,Male,Bronze
C00227,Karthik Patel,Chennai,32,Male,Bronze
C00228,Surya Patel,Bengaluru,33,Female,Bronze
C00229,Vikram Patel,Hyderabad,22,Male,Silver
C00230,Rohan Patel,Chennai,45,Female,Bronze
C00231,Ananya Patel,Bengaluru,45,Female,Silver
C00232,Diya Patel,Pune,57,Female,Gold
C00233,Priya Patel,Chennai,52,Male,Silver
C00234,Meera Patel,Mumbai,49,Male,Silver
C00235,Nisha Patel,Hyderabad,36,Female,Bronze
C00236,Sneha Patel,Pune,38,Female,Bronze
C00237,Aishwarya Patel,Hyderabad,42,Female,Silver
C00238,Kavya Patel,Mumbai,45,Male,Gold
C00239,Harini Patel,Chennai,30,Male,Bronze
C00240,Divya Patel,Mumbai,46,Male,Silver
C00241,Aarav Reddy,Chennai,53,Female,Bronze
C00242,Vivaan Reddy,Mumbai,22,Male,Silver
C00243,Aditya Reddy,Mumbai,43,Female,Bronze
C00244,Arjun Reddy,Chennai,44,Female,Silver
C00245,Sai Reddy,Pune,23,Male,Bronze
C00246,Rahul Reddy,Pune,57,Female,Gold
C00247,Karthik Reddy,Chennai,51,Female,Silver
C00248,Surya Reddy,Chennai,43,Female,Bronze
C00249,Vikram Reddy,Pune,45,Male,Bronze
C00250,Rohan Reddy,Chennai,19,Male,Silver
C00251,Ananya Reddy,Hyderabad,55,Female,Bronze
C00252,Diya Reddy,Bengaluru,40,Male,Gold
C00253,Priya Reddy,Pune,57,Male,Bronze
