RiderID,RiderName,City,VehicleType,ExperienceYears,Rating
R0001,Akash K,Mumbai,Bike,7,4.6
R0002,Vignesh K,Chennai,Scooter,3,3.7
R0003,Praveen K,Bengaluru,Bike,8,4.7
R0004,Sanjay K,Hyderabad,Bike,5,3.7
R0005,Manoj K,Mumbai,Bike,1,4
R0006,Arun K,Mumbai,Bike,8,3.7
R0007,Naveen K,Chennai,Scooter,2,4.6
R0008,Hari K,Hyderabad,Bike,7,4
R0009,Deepak K,Pune,Bike,7,3.8
R0010,Lokesh K,Bengaluru,Bike,4,4.2
R0011,Ajay K,Hyderabad,Bike,8,4.9
R0012,Kiran K,Mumbai,Scooter,7,5
R0013,Bharath K,Chennai,Bike,8,4.1
R0014,Gokul K,Mumbai,Scooter,2,4
R0015,Suresh K,Bengaluru,Bike,9,4.4
R0016,Yash K,Hyderabad,Scooter,10,4.4
R0017,Rakesh K,Hyderabad,Scooter,8,5
R0018,Mohan K,Chennai,Scooter,9,4.8
R0019,Ashwin K,Bengaluru,Bike,3,4.6
R0020,Dinesh K,Mumbai,Bike,2,4.8
R0021,Akash R,Hyderabad,Scooter,9,4.4
R0022,Vignesh R,Pune,Bike,3,4.6
R0023,Praveen R,Mumbai,Bike,3,3.7
R0024,Sanjay R,Bengaluru,Bike,5,4
R0025,Manoj R,Chennai,Bike,8,4.6
R0026,Arun R,Bengaluru,Scooter,2,4.5
R0027,Naveen R,Hyderabad,Scooter,10,3.7
R0028,Hari R,Hyderabad,Bike,4,4.6
R0029,Deepak R,Pune,Scooter,2,4.4
R0030,Lokesh R,Mumbai,Scooter,6,4.7
R0031,Ajay R,Chennai,Scooter,7,4.9
R0032,Kiran R,Chennai,Bike,8,4
R0033,Bharath R,Bengaluru,Bike,5,4.1
R0034,Gokul R,Hyderabad,Bike,2,4.3
R0035,Suresh R,Bengaluru,Bike,6,3.8
R0036,Yash R,Mumbai,Scooter,10,4.3
R0037,Rakesh R,Mumbai,Bike,5,4.1
R0038,Mohan R,Pune,Scooter,9,4.9
R0039,Ashwin R,Pune,Scooter,5,4.4
R0040,Dinesh R,Hyderabad,Scooter,5,4.2
R0041,Akash S,Bengaluru,Bike,10,4.8
R0042,Vignesh S,Bengaluru,Bike,6,4.6
R0043,Praveen S,Mumbai,Scooter,7,4.9
R0044,Sanjay S,Chennai,Bike,7,3.8
R0045,Manoj S,Chennai,Bike,9,4.7
R0046,Arun S,Hyderabad,Scooter,8,4.8
R0047,Naveen S,Bengaluru,Scooter,6,3.7
R0048,Hari S,Bengaluru,Bike,5,4.3
R0049,Deepak S,Hyderabad,Scooter,10,4.3
R0050,Lokesh S,Mumbai,Bike,6,4.2
R0051,Ajay S,Chennai,Bike,4,5
R0052,Kiran S,Bengaluru,Scooter,1,4.4
R0053,Bharath S,Pune,Scooter,5,5
R0054,Gokul S,Hyderabad,Bike,2,4.3
R0055,Suresh S,Hyderabad,Scooter,1,4.8
R0056,Yash S,Chennai,Bike,7,3.9
R0057,Rakesh S,Mumbai,Bike,2,4
R0058,Mohan S,Bengaluru,Bike,4,4.9
R0059,Ashwin S,Pune,Bike,6,3.7
R0060,Dinesh S,Hyderabad,Scooter,6,4.4
R0061,Akash M,Pune,Scooter,1,4.8
R0062,Vignesh M,Pune,Scooter,3,4.8
R0063,Praveen M,Hyderabad,Scooter,2,3.5
R0064,Sanjay M,Bengaluru,Bike,10,4.3
R0065,Manoj M,Mumbai,Scooter,8,4
R0066,Arun M,Pune,Bike,10,4.2
R0067,Naveen M,Hyderabad,Scooter,7,4.9
R0068,Hari M,Hyderabad,Bike,3,4.2
R0069,Deepak M,Bengaluru,Bike,6,4.5
R0070,Lokesh M,Hyderabad,Scooter,8,4.7
R0071,Ajay M,Hyderabad,Scooter,2,5
R0072,Kiran M,Bengaluru,Bike,1,3.6
R0073,Bharath M,Mumbai,Scooter,6,4.3
R0074,Gokul M,Hyderabad,Scooter,2,4.6
R0075,Suresh M,Pune,Bike,9,3.6
R0076,Yash M,Hyderabad,Bike,7,3.9
R0077,Rakesh M,Mumbai,Bike,5,4.6
R0078,Mohan M,Pune,Scooter,10,4.5
R0079,Ashwin M,Chennai,Bike,7,4
R0080,Dinesh M,Bengaluru,Scooter,4,4.9
R0081,Akash P,Hyderabad,Scooter,2,3.9
R0082,Vignesh P,Mumbai,Bike,1,4.9
R0083,Praveen P,Bengaluru,Bike,10,3.9
R0084,Sanjay P,Pune,Bike,6,3.7
R0085,Manoj P,Mumbai,Scooter,3,4
R0086,Arun P,Chennai,Bike,9,4.1
R0087,Naveen P,Mumbai,Bike,1,3.8
R0088,Hari P,Bengaluru,Scooter,2,4
R0089,Deepak P,Mumbai,Bike,6,4.6
R0090,Lokesh P,Mumbai,Bike,1,4.9
R0091,Ajay P,Hyderabad,Bike,1,3.9
R0092,Kiran P,Chennai,Bike,9,4.7
